ID,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
387,up,level,up,up,up,up,up,level,down,down,down,down,down,up,up,down,up,up,up,up,down,up,down,down,down,up,down,down,No Hole,2
388,up,level,up,up,up,up,up,level,down,down,down,down,down,up,up,down,up,up,up,up,down,up,down,down,down,up,down,down,No Hole,2
389,up,level,up,up,up,up,up,level,down,down,down,down,down,up,up,down,up,up,up,up,down,up,down,down,down,up,down,down,No Hole,2
390,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
391,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
392,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
393,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
394,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
395,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
396,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
397,up,up,up,up,up,up,up,level,down,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
398,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
399,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
400,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
401,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
402,up,up,up,up,up,up,up,down,level,down,down,down,down,level,up,down,up,up,up,up,level,down,down,down,down,up,down,down,No Hole,3
